qacc	Entry	qlen	slen	length	score	bitscore	evalue	pident	nident	mismatch	positive	gaps	gapopen	Tax_ID	stitle
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_044837	429	1462	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1117315	Pseudoalteromonas haloplanktis ATCC 14393 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_114188	429	1461	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NBRC 103036 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_025654	429	1506	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	166934	Pseudoalteromonas paragorgicola strain KMM 3548 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_025509	429	1505	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	1312369	Pseudoalteromonas agarivorans DSM 14585 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_114436	429	1458	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	77608	Pseudoalteromonas distincta strain KMM 638 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_028722	429	1494	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	81037	Pseudoalteromonas elyakovii strain KMM 162 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_026222	429	1436	429	423	782.0	0.0	99.53399999999999	427	2	427	0	0	28109	Pseudoalteromonas nigrifaciens strain NCIMB 8614 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_114049	429	1461	426	421	778.0	0.0	99.531	424	2	424	0	0	28107	Pseudoalteromonas espejiana strain NBRC 102222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_114191	429	1393	426	420	776.0	0.0	99.531	424	2	424	0	0	43660	Pseudoalteromonas undina strain NBRC 103039 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:16394:2140	NR_114187	429	1459	426	420	776.0	0.0	99.531	424	2	424	0	0	1315271	Pseudoalteromonas tetraodonis GFC strain NBRC 103034 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_109065	429	1429	429	402	743.0	0.0	97.902	420	9	420	0	0	889488	Zhongshania borealis strain CL-AS9 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_108452	429	1501	429	399	737.0	0.0	97.669	419	10	419	0	0	641783	Zhongshania guokunii strain ZS6-22 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_126306	429	1403	429	396	732.0	0.0	97.436	418	11	418	0	0	1470434	Zhongshania aliphaticivorans strain SM-2 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_108450	429	1501	429	393	726.0	0.0	97.20299999999999	417	12	417	0	0	641702	Zhongshania antarctica strain ZS5-23 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_118015	429	1495	430	363	671.0	0.0	94.884	408	20	408	2	2	354246	Spongiibacter marinus strain DSM 17750 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_042454	429	1452	430	363	671.0	0.0	94.884	408	20	408	2	2	354246	Spongiibacter marinus strain HAL40b 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_118016	429	1495	429	357	660.0	0.0	94.406	405	24	405	0	0	1122224	Spongiibacter marinus DSM 19753 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_042990	429	1470	429	357	660.0	0.0	94.406	405	24	405	0	0	354246	Spongiibacter marinus strain 5IX/A01/131 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_118017	429	1497	430	345	638.0	0.0	93.488	402	26	402	2	2	454602	Spongiibacter tropicus strain DSM 19543 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:7568:2213	NR_116117	429	1406	430	345	638.0	0.0	93.488	402	26	402	2	2	454602	Spongiibacter tropicus strain CL-CB221 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_043462	429	1501	429	383	708.0	0.0	96.50299999999999	414	14	414	1	1	326537	Colwellia polaris strain 539=7 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_116850	429	1463	429	378	699.0	0.0	96.037	412	17	412	0	0	641665	Colwellia chukchiensis strain BCw111 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_151990	429	1465	431	363	671.0	0.0	94.896	409	18	409	4	4	1820336	Colwellia sediminilitoris strain YSM-23 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_133732	429	1496	431	363	671.0	0.0	94.896	409	18	409	4	4	1354731	Colwellia meonggei strain MA1-3 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_043509	429	1496	432	360	665.0	0.0	94.676	409	17	409	6	5	329993	Colwellia aestuarii strain SMK-10 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_159245	429	1537	432	357	660.0	0.0	94.444	408	18	408	6	5	1967665	Colwellia beringensis strain NB097-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_156046	429	1463	429	357	660.0	0.0	94.406	405	24	405	0	0	1888913	Colwellia mytili strain RA2-7 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_157014	429	1510	432	355	656.0	0.0	94.213	407	22	407	3	3	1911682	Colwellia agarivorans strain QM50 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_134008	429	1408	429	345	638.0	0.0	93.473	401	28	401	0	0	1195759	Colwellia aquaemaris strain S1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23810:2233	NR_116385	429	1507	431	327	604.0	9.249999999999997e-173	92.111	397	30	397	4	4	517723	Colwellia asteriadis strain KMD 002 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_043462	429	1501	429	419	774.0	0.0	99.301	426	2	426	1	1	326537	Colwellia polaris strain 539=7 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_116850	429	1463	429	402	743.0	0.0	97.902	420	9	420	0	0	641665	Colwellia chukchiensis strain BCw111 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_133732	429	1496	432	393	726.0	0.0	97.22200000000001	420	6	420	6	6	1354731	Colwellia meonggei strain MA1-3 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_156046	429	1463	429	387	715.0	0.0	96.73700000000001	415	14	415	0	0	1888913	Colwellia mytili strain RA2-7 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_151990	429	1465	431	387	715.0	0.0	96.75200000000001	417	10	417	4	4	1820336	Colwellia sediminilitoris strain YSM-23 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_157014	429	1510	432	385	712.0	0.0	96.52799999999999	417	12	417	3	3	1911682	Colwellia agarivorans strain QM50 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_043509	429	1496	432	384	710.0	0.0	96.52799999999999	417	9	417	6	5	329993	Colwellia aestuarii strain SMK-10 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_159245	429	1537	432	381	704.0	0.0	96.296	416	10	416	6	5	1967665	Colwellia beringensis strain NB097-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_134008	429	1408	429	369	682.0	0.0	95.338	409	20	409	0	0	1195759	Colwellia aquaemaris strain S1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:23801:2251	NR_116385	429	1507	431	360	665.0	0.0	94.664	408	19	408	4	4	517723	Colwellia asteriadis strain KMD 002 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_044837	429	1462	429	420	776.0	0.0	99.301	426	3	426	0	0	1117315	Pseudoalteromonas haloplanktis ATCC 14393 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_114188	429	1461	429	420	776.0	0.0	99.301	426	3	426	0	0	28109	Pseudoalteromonas nigrifaciens strain NBRC 103036 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_025654	429	1506	429	420	776.0	0.0	99.301	426	3	426	0	0	166934	Pseudoalteromonas paragorgicola strain KMM 3548 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_025509	429	1505	429	420	776.0	0.0	99.301	426	3	426	0	0	1312369	Pseudoalteromonas agarivorans DSM 14585 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_114436	429	1458	429	420	776.0	0.0	99.301	426	3	426	0	0	77608	Pseudoalteromonas distincta strain KMM 638 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_028722	429	1494	429	420	776.0	0.0	99.301	426	3	426	0	0	81037	Pseudoalteromonas elyakovii strain KMM 162 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_026222	429	1436	429	420	776.0	0.0	99.301	426	3	426	0	0	28109	Pseudoalteromonas nigrifaciens strain NCIMB 8614 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_114049	429	1461	426	418	773.0	0.0	99.296	423	3	423	0	0	28107	Pseudoalteromonas espejiana strain NBRC 102222 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_114191	429	1393	426	417	771.0	0.0	99.296	423	3	423	0	0	43660	Pseudoalteromonas undina strain NBRC 103039 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9377:2283	NR_114187	429	1459	426	417	771.0	0.0	99.296	423	3	423	0	0	1315271	Pseudoalteromonas tetraodonis GFC strain NBRC 103034 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_024805	429	1474	429	366	676.0	0.0	95.105	408	21	408	0	0	211668	Colwellia piezophila strain Y223G 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_104941	429	1448	429	363	671.0	0.0	94.87200000000001	407	22	407	0	0	89402	Colwellia hornerae strain IC035 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_024635	429	1514	430	363	671.0	0.0	94.884	408	20	408	2	2	77524	Colwellia maris strain ABE-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_159353	429	1510	429	357	660.0	0.0	94.406	405	24	405	0	0	1982103	Colwellia echini strain A3 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_153727	429	1506	429	354	654.0	0.0	94.17200000000001	404	25	404	0	0	1655234	Thalassotalea euphylliae strain Eup-16 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_159308	429	1504	431	354	654.0	0.0	94.2	406	21	406	4	4	2054316	Thalassotalea atypica strain RZG4-3-1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_134215	429	1462	429	354	654.0	0.0	94.17200000000001	404	25	404	0	0	1523392	Thalassotalea ponticola strain GJSW-36 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_148243	429	1463	429	354	654.0	0.0	94.17200000000001	404	25	404	0	0	1390224	Thalassotalea fusca strain G-MB1 16S ribosomal RNA, partial sequence
M01323:399:000000000-B29GY:1:1101:9956:2358	NR_116385	429	1507	429	354	654.0	0.0	94.17200000000001	404	25	404	0	0	517723	Colwellia asteriadis strain KMD 002 16S ribosomal RNA, partial sequence
